Description,Amount,Category,Transaction Date
TARGET.COM  *,32.34,Target,2024-10-25
TARGET.COM  *,12.72,Target,2024-10-24
TARGET        00010454,172.34,Target,2024-10-21
TARGET.COM,21.19,Target,2024-10-16
TARGET.COM  *,17.26,Target,2024-10-15
TARGET        00010454,108.05,Target,2024-10-15
TARGET        00010454,-32.57,Target,2024-10-08
TARGET        00010454,238.4,Target,2024-10-08
TARGET        00010454,83.97,Target,2024-10-02
TARGET.COM  *,19.07,Target,2024-09-30
TARGET.COM  *,96.46,Target,2024-09-30
TARGET.COM  *,53.6,Target,2024-09-21
TARGET.COM  *,66.85,Target,2024-09-21
TARGET.COM  *,20.13,Target,2024-09-20
TARGET        00010454,-16.95,Target,2024-09-16
TARGET        00010454,165.22,Target,2024-09-16
TARGET.COM  *,39.2,Target,2024-09-11
TARGET.COM  *,106.0,Target,2024-09-11
TARGET        00010454,127.85,Target,2024-09-10
TARGET.COM  *,38.14,Target,2024-09-03
TARGET        00010454,113.68,Target,2024-08-29
TARGET        00010454,34.96,Target,2024-08-29
TARGET        00010454,-7.42,Target,2024-08-29
TARGET.COM  *,29.61,Target,2024-08-23
TARGET.COM  *,25.99,Target,2024-08-22
TARGET        00010454,-16.72,Target,2024-08-09
TARGET        00010454,204.62,Target,2024-08-09
TARGET.COM  *,21.7,Target,2024-08-08
TARGET.COM  *,25.0,Target,2024-08-08
TARGET.COM  *,66.25,Target,2024-08-08
TARGET.COM  *,25.01,Target,2024-08-07
TARGET.COM  *,15.89,Target,2024-08-07
TARGET.COM  *,9.38,Target,2024-08-07
TARGET.COM  *,58.29,Target,2024-08-03
TARGET.COM  *,16.72,Target,2024-08-01
TARGET.COM  *,38.65,Target,2024-08-01
TARGET        00010454,117.94,Target,2024-07-24
TARGET        00010454,-19.51,Target,2024-07-24
TARGET.COM  *,47.21,Target,2024-07-19
TARGET        00010454,252.95,Target,2024-07-18
TARGET        00010454,18.02,Target,2024-07-14
TARGET.COM  *,19.51,Target,2024-06-30
TARGET.COM  *,20.13,Target,2024-06-30
TARGET.COM  *,-37.09,Target,2024-06-28
TARGET        00010454,8.61,Target,2024-06-28
TARGET.COM  *,49.19,Target,2024-06-25
TARGET.COM  *,24.48,Target,2024-06-24
TARGET.COM  *,28.27,Target,2024-06-24
TARGET.COM  *,-31.77,Target,2024-06-24
TARGET        00010454,-8.05,Target,2024-06-12
TARGET        00010454,-17.28,Target,2024-06-12
TARGET        00010454,55.25,Target,2024-06-12
TARGET        00010454,25.44,Target,2024-06-06
TARGET.COM  *,-25.97,Target,2024-06-05
TARGET.COM  *,37.09,Target,2024-06-05
TARGET        00010454,-65.82,Target,2024-06-05
TARGET        00010454,40.0,Target,2024-06-05
TARGET        00010454,241.36,Target,2024-06-05
TARGET.COM  *,15.89,Target,2024-06-03
TARGET.COM  *,27.18,Target,2024-06-03
TARGET.COM  *,50.73,Target,2024-05-28
TARGET.COM  *,121.46,Target,2024-05-28
TARGET.COM  *,20.78,Target,2024-05-28
TARGET.COM  *,2.18,Target,2024-05-26
TARGET.COM  *,129.32,Target,2024-05-26
TARGET.COM  *,26.54,Target,2024-05-26
TARGET        00010454,132.5,Target,2024-05-23
TARGET.COM  *,31.77,Target,2024-05-20
TARGET.COM  *,78.14,Target,2024-05-20
TARGET.COM  *,5.0,Target,2024-05-20
TARGET.COM  *,20.0,Target,2024-05-11
TARGET        00010454,-70.92,Target,2024-05-02
TARGET        00010454,205.34,Target,2024-05-02
TARGET.COM  *,142.78,Target,2024-04-21
TARGET        00010454,50.05,Target,2024-04-19
TARGET        00010454,-41.75,Target,2024-04-19
TARGET        00010454,164.72,Target,2024-04-19
TARGET.COM  *,40.5,Target,2024-04-17
TARGET        00010454,-30.22,Target,2024-04-11
TARGET        00010454,6.36,Target,2024-04-11
TARGET        00010454,270.36,Target,2024-04-11
TARGET.COM  *,61.16,Target,2024-04-08
TARGET.COM  *,73.49,Target,2024-03-26
TARGET        00010454,87.98,Target,2024-03-22
TARGET        00010454,103.07,Target,2024-03-13
TARGET.COM  *,39.04,Target,2024-03-11
TARGET.COM  *,76.55,Target,2024-03-10
TARGET.COM  *,27.01,Target,2024-03-10
TARGET.COM  *,-31.79,Target,2024-03-07
TARGET        00010454,115.43,Target,2024-03-07
TARGET        00010454,-50.17,Target,2024-03-07
TARGET        00010454,-44.41,Target,2024-02-29
TARGET        00010454,101.63,Target,2024-02-29
TARGET        00010454,121.64,Target,2024-02-23
TARGET        00010454,-86.66,Target,2024-02-23
TARGET.COM  *,80.56,Target,2024-02-20
TARGET.COM  *,25.18,Target,2024-02-19
TARGET        00010454,72.21,Target,2024-02-16
TARGET        00010454,50.05,Target,2024-02-15
TARGET.COM  *,58.28,Target,2024-02-12
TARGET.COM  *,8.71,Target,2024-02-12
TARGET.COM  *,8.71,Target,2024-02-12
TARGET.COM  *,11.3,Target,2024-02-12
TARGET.COM  *,160.32,Target,2024-02-11
TARGET        00010454,110.07,Target,2024-02-09
TARGET        00010454,39.51,Target,2024-01-31
TARGET        00010454,-13.99,Target,2024-01-20
TARGET        00010454,63.2,Target,2024-01-20
TARGET.COM  *,25.98,Target,2024-01-13
TARGET.COM  *,26.49,Target,2024-01-12
TARGET        00010454,126.05,Target,2024-01-08
TARGET        00010454,-19.08,Target,2024-01-08
TARGET.COM  *,19.83,Target,2024-01-04
TARGET        00010454,103.76,Target,2024-01-04
TARGET.COM  *,27.36,Target,2024-01-04
